order_item_id,created_at,order_id,product_id,is_primary_item,price_usd,cogs_usd,order_item_date,order_item_time
1,19-03-2012 10:42,1,1,1,49.99,19.49,19-03-2012,10:42:46
2,19-03-2012 19:27,2,1,1,49.99,19.49,19-03-2012,19:27:37
3,20-03-2012 06:44,3,1,1,49.99,19.49,20-03-2012,06:44:45
4,20-03-2012 09:41,4,1,1,49.99,19.49,20-03-2012,09:41:45
5,20-03-2012 11:28,5,1,1,49.99,19.49,20-03-2012,11:28:15
6,20-03-2012 16:12,6,1,1,49.99,19.49,20-03-2012,16:12:47
7,20-03-2012 17:03,7,1,1,49.99,19.49,20-03-2012,17:03:41
8,20-03-2012 23:35,8,1,1,49.99,19.49,20-03-2012,23:35:27
9,21-03-2012 02:35,9,1,1,49.99,19.49,21-03-2012,02:35:01
10,21-03-2012 06:45,10,1,1,49.99,19.49,21-03-2012,06:45:58
11,21-03-2012 07:28,11,1,1,49.99,19.49,21-03-2012,07:28:02
12,21-03-2012 08:21,12,1,1,49.99,19.49,21-03-2012,08:21:33
13,21-03-2012 08:45,13,1,1,49.99,19.49,21-03-2012,08:45:32
14,21-03-2012 09:12,14,1,1,49.99,19.49,21-03-2012,09:12:05
15,21-03-2012 16:40,15,1,1,49.99,19.49,21-03-2012,16:40:06
16,21-03-2012 17:13,16,1,1,49.99,19.49,21-03-2012,17:13:05
17,21-03-2012 20:28,17,1,1,49.99,19.49,21-03-2012,20:28:11
18,22-03-2012 06:15,18,1,1,49.99,19.49,22-03-2012,06:15:33
19,22-03-2012 10:03,19,1,1,49.99,19.49,22-03-2012,10:03:49
20,22-03-2012 17:49,20,1,1,49.99,19.49,22-03-2012,17:49:57
21,22-03-2012 20:33,21,1,1,49.99,19.49,22-03-2012,20:33:40
22,23-03-2012 12:09,22,1,1,49.99,19.49,23-03-2012,12:09:46
23,23-03-2012 14:16,23,1,1,49.99,19.49,23-03-2012,14:16:23
24,23-03-2012 17:14,24,1,1,49.99,19.49,23-03-2012,17:14:48
25,24-03-2012 09:21,25,1,1,49.99,19.49,24-03-2012,09:21:40
26,25-03-2012 08:32,26,1,1,49.99,19.49,25-03-2012,08:32:41
27,25-03-2012 08:51,27,1,1,49.99,19.49,25-03-2012,08:51:27
28,25-03-2012 16:00,28,1,1,49.99,19.49,25-03-2012,16:00:12
29,25-03-2012 21:23,29,1,1,49.99,19.49,25-03-2012,21:23:16
30,26-03-2012 10:03,30,1,1,49.99,19.49,26-03-2012,10:03:39
31,26-03-2012 10:25,31,1,1,49.99,19.49,26-03-2012,10:25:44
32,26-03-2012 14:13,32,1,1,49.99,19.49,26-03-2012,14:13:56
33,26-03-2012 16:00,33,1,1,49.99,19.49,26-03-2012,16:00:19
34,26-03-2012 17:55,34,1,1,49.99,19.49,26-03-2012,17:55:25
35,26-03-2012 18:06,35,1,1,49.99,19.49,26-03-2012,18:06:39
36,26-03-2012 18:54,36,1,1,49.99,19.49,26-03-2012,18:54:41
37,26-03-2012 19:19,37,1,1,49.99,19.49,26-03-2012,19:19:25
38,26-03-2012 21:13,38,1,1,49.99,19.49,26-03-2012,21:13:07
39,27-03-2012 15:18,39,1,1,49.99,19.49,27-03-2012,15:18:43
40,27-03-2012 16:53,40,1,1,49.99,19.49,27-03-2012,16:53:30
41,28-03-2012 08:30,41,1,1,49.99,19.49,28-03-2012,08:30:06
42,28-03-2012 09:56,42,1,1,49.99,19.49,28-03-2012,09:56:58
43,28-03-2012 16:55,43,1,1,49.99,19.49,28-03-2012,16:55:52
44,28-03-2012 21:24,44,1,1,49.99,19.49,28-03-2012,21:24:10
45,28-03-2012 22:45,45,1,1,49.99,19.49,28-03-2012,22:45:52
46,29-03-2012 16:11,46,1,1,49.99,19.49,29-03-2012,16:11:05
47,29-03-2012 17:49,47,1,1,49.99,19.49,29-03-2012,17:49:07
48,29-03-2012 23:09,48,1,1,49.99,19.49,29-03-2012,23:09:30
49,30-03-2012 00:25,49,1,1,49.99,19.49,30-03-2012,00:25:18
50,30-03-2012 02:27,50,1,1,49.99,19.49,30-03-2012,02:27:35
51,30-03-2012 10:06,51,1,1,49.99,19.49,30-03-2012,10:06:25
52,30-03-2012 10:24,52,1,1,49.99,19.49,30-03-2012,10:24:06
53,30-03-2012 12:47,53,1,1,49.99,19.49,30-03-2012,12:47:30
54,30-03-2012 14:26,54,1,1,49.99,19.49,30-03-2012,14:26:49
55,30-03-2012 14:39,55,1,1,49.99,19.49,30-03-2012,14:39:09
56,31-03-2012 00:22,56,1,1,49.99,19.49,31-03-2012,00:22:18
57,31-03-2012 02:32,57,1,1,49.99,19.49,31-03-2012,02:32:43
58,31-03-2012 06:40,58,1,1,49.99,19.49,31-03-2012,06:40:10
59,31-03-2012 10:25,59,1,1,49.99,19.49,31-03-2012,10:25:39
60,31-03-2012 19:24,60,1,1,49.99,19.49,31-03-2012,19:24:33
61,01-04-2012 06:45,61,1,1,49.99,19.49,01-04-2012,06:45:11
62,01-04-2012 12:38,62,1,1,49.99,19.49,01-04-2012,12:38:27
63,01-04-2012 17:33,63,1,1,49.99,19.49,01-04-2012,17:33:26
64,01-04-2012 18:26,64,1,1,49.99,19.49,01-04-2012,18:26:19
65,02-04-2012 11:07,65,1,1,49.99,19.49,02-04-2012,11:07:48
66,02-04-2012 16:32,66,1,1,49.99,19.49,02-04-2012,16:32:15
67,02-04-2012 17:17,67,1,1,49.99,19.49,02-04-2012,17:17:42
68,02-04-2012 18:36,68,1,1,49.99,19.49,02-04-2012,18:36:27
69,03-04-2012 10:29,69,1,1,49.99,19.49,03-04-2012,10:29:20
70,03-04-2012 11:53,70,1,1,49.99,19.49,03-04-2012,11:53:36
71,03-04-2012 15:03,71,1,1,49.99,19.49,03-04-2012,15:03:48
